,旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區
0,洛碁大飯店松山館 (Green World SongShan),8.6,2577.0,2129.0,南港區
1,摩莎曼拉精品旅館 - 台北車站館 (Moshamanla-Main Station),8.3,15200.0,1007.0,中正區
2,新驛旅店復興北路店 (Cityinn Hotel Plus Fuxing N.Rd. Branch),9.1,5779.0,1772.0,中山區
3,富信大飯店 - 台北旗艦館 (Fushin Hotel-Taipei),8.5,2793.0,1875.0,汐止區
4,台北君悅酒店 (Grand Hyatt Taipei),8.8,2518.0,3886.0,信義區
5,和苑三井花園飯店 台北忠孝 (MGH Mitsui Garden Hotel Taipei Zhongxiao),9.0,196.0,2887.0,大安區
6,蒲園飯店 (Golden Garden Hotel),8.7,986.0,1999.0,松山區
7,F Hotel 台北蘆洲館 (F Hotel Luzhou Taipei),8.7,812.0,2150.0,蘆洲區
8,台北天晴青年旅店 (Taipei Sunny Hostel),9.4,2148.0,1029.0,中正區
9,趣淘漫旅 - 台北 (HOTEL CHAM CHAM - Taipei),9.0,11321.0,1627.0,板橋區
10,豪景大酒店新館 (New Riverview Suites),8.1,2900.0,1824.0,萬華區
11,洛碁大飯店忠孝館 (Green World ZhongXiao),8.7,5467.0,1685.0,大安區
12,凱統大飯店 (Kdm Hotel),8.0,3681.0,1462.0,大安區
13,台北晶華酒店 (Regent Taipei Hotel),8.9,3054.0,6102.0,中山區
14,東龍大飯店 (East Dragon Hotel),7.8,2196.0,1289.0,萬華區
15,帥客旅店 (Saual Keh Hotel),7.7,2975.0,1185.0,中正區
16,洛碁大飯店南港館 (Green World NanGang),8.5,3898.0,2269.0,南港區
17,阿樹國際旅店 (arTree Hotel),8.8,3095.0,2464.0,松山區
18,台北天成大飯店 (Cosmos Hotel Taipei),8.3,7996.0,2755.0,中正區
19,台北美侖大飯店 (Park Taipei Hotel),8.5,10193.0,1913.0,大安區
20,函舍商務旅店 (Han She Business Hotel),7.5,1904.0,1655.0,萬華區
21,台北花園大酒店 (Taipei Garden Hotel),8.2,4641.0,3115.0,中正區
22,翰品酒店 新莊 (Chateau de Chine Xinzhuang),8.6,1731.0,2186.0,新莊區
23,沃田旅店 (Mellow Fields Hotel),8.5,2797.0,2348.0,士林區
24,捷絲旅 - 西門町館 (Just Sleep Hotel Ximending),8.5,6192.0,1984.0,萬華區
25,台北萬豪酒店 (Taipei Marriott Hotel),8.6,626.0,5229.0,中山區
26,成旅晶贊飯店 - 台北蘆洲  (Park City Hotel – Luzhou Taipei),8.8,5851.0,2597.0,蘆洲區
27,天閣酒店 - 台北信義店 (Tango Hotel Taipei XinYi),8.3,3121.0,2408.0,信義區
28,台北新板希爾頓酒店 (Hilton Taipei Sinban),8.9,1150.0,3240.0,板橋區
29,美麗信花園酒店 (Miramar Garden Hotel),8.4,4042.0,3195.0,中山區
30,台北福華大飯店 (The Howard Plaza Hotel Taipei),8.1,4299.0,2700.0,大安區
31,台北凱達大飯店 (Caesar Metro Taipei),8.6,14633.0,1905.0,萬華區
32,德立莊酒店 (Hotel Midtown Richardson),8.0,22035.0,2168.0,萬華區
