旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區,lat,log
新驛旅店西門捷運店 (Cityinn Hotel Plus Ximending Branch),8.7,5881.0,2390.0,萬華區,25.04192,121.5091
台北蘆洲集賢商旅 (Hotel G7 Taipei),8.1,1065.0,1144.0,蘆洲區,25.08322,121.48031
丰居旅店 - 雙連館  (Via Hotel Loft),8.5,4860.0,1838.0,中山區,25.05798,121.52421
台北馥華商旅 - 敦北館 (Simple+ Hotel),8.6,4167.0,1558.0,松山區,25.05031,121.54483
Hotel PaPa Whale,8.3,14580.0,1673.0,萬華區,25.04664,121.50516
馥都飯店 (Grand Forward Hotel),8.8,2759.0,2944.0,板橋區,25.00763,121.45807
睡台北時尚旅店 - 南雅夜市館 (Sleep Taipei Hotel - Nan Ya Market),7.7,1998.0,2178.0,板橋區,25.00672,121.45588
旅樂序精品旅館二館 (Hotel Relax II),8.5,5076.0,2192.0,中正區,25.04528,121.51423
台北王朝大酒店 (Sunworld Dynasty Hotel),7.8,5039.0,2802.0,松山區,25.05266,121.54804
台北東旅 (Hotel East Taipei),8.7,2286.0,2246.0,松山區,25.05182,121.5602
長榮桂冠酒店 (Evergreen Laurel Hotel),8.8,2226.0,3074.0,中山區,25.04883,121.53305
米尼旅店 (miniinn),8.9,417.0,537.0,中正區,25.04609,121.51879
台北有園飯店 (U Hotel Taipei),8.2,1561.0,2204.0,中山區,25.05182,121.53744
台北城大飯店 (Taipei City Hotel),8.3,2855.0,2302.0,大同區,25.05938,121.51324
台北美福大飯店 (Grand Mayfull Hotel Taipei),9.0,1114.0,6312.0,中山區,25.0804,121.55369
六福萬怡酒店 (Courtyard Taipei),8.5,583.0,6424.0,南港區,25.05277,121.6061
承億文旅淡水吹風 (Hotelday Plus Tamsui),8.0,4093.0,2751.0,淡水區,25.18169,121.42125
天成文旅-華山町 (Hua Shan Din by Cosmos Creation - Huashan 1914 Creative Park),8.9,1932.0,2448.0,中正區,25.04328,121.53007
台北西華飯店 (The Sherwood Taipei),8.7,4684.0,4019.0,松山區,25.05821,121.54553
旅樂序精品旅館站前一館 (Hotel Relax),8.4,3037.0,1760.0,中正區,25.04593,121.51454
美麗殿商旅-板橋館 (Merryday Hotel Banqiao Branch),8.0,4964.0,1402.0,板橋區,25.00931,121.45784
城市商旅站前館 (City Suites - Main station),8.5,2636.0,1641.0,中正區,25.04975,121.51574
林口亞昕福朋喜來登酒店 (Four Points by Sheraton Linkou),8.7,84.0,3600.0,林口區,25.06635,121.36064
薆悅酒店野柳渡假館 (Inhouse Hotel Yehliu),8.3,1848.0,3924.0,萬里區,25.20418,121.69011
