旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區,lat,log
"豪爵大飯店台北館 (The Metro Hotel, Taipei)",7.7,526.0,1404.0,中山區,25.06509,121.53143
台北文華東方酒店 (Mandarin Oriental Taipei),9.2,549.0,10571.0,松山區,25.05575,121.54793
台北漫步 - 西門館 (Meander Taipei Hostel - Ximending),8.8,3338.0,1564.0,萬華區,25.04388,121.50226
101艾美琪旅店六星級背包客 (Amici Hotel Six Star Hostel),8.3,3830.0,2377.0,大安區,25.04343,121.54276
玫瑰精品旅館雙城館 (Rose Boutique Hotel shuangcheng Hall),8.5,910.0,2403.0,中山區,25.06578,121.52347
樂居·微風 (Hotel le Home),8.9,1081.0,2301.0,中山區,25.05759,121.52348
台北旅坊 (Bon Hotel Taipei),8.4,188.0,1894.0,中山區,25.05077,121.53319
台北亞太H帝國 (Taipei AP H Imperial),8.5,3939.0,1067.0,中正區,25.04627,121.51563
台北北城大飯店 (City Hotel Taipei),7.7,361.0,1316.0,中山區,25.05481,121.5411
原宿時空膠囊旅館 (UZ hostel),8.6,2088.0,523.0,板橋區,25.00878,121.46122
這裡那裡青年旅店站前館 (Here There Hostel Taipei),7.7,4062.0,828.0,中正區,25.04611,121.51824
麗敦精緻旅店 (Reedon Boutique Hotel),8.2,462.0,1869.0,士林區,25.10246,121.52127
密都飯店 (Meadow Hotel Taipei),7.4,1005.0,1097.0,中山區,25.0546,121.53835
191旅店- 寧夏分館 (191 Hotel - Ninxia),8.5,1381.0,912.0,大同區,25.05471,121.51482
九份聽山 (Jiufen Mountains Echoed B&B),7.8,1930.0,1129.0,瑞芳區,25.10693,121.84212
凡登台北商務旅店 (Vendome Hotel),7.6,5945.0,1566.0,大安區,25.04173,121.55131
台北海灣假日酒店 (HiONE Holiday Hotel Taipei),7.6,136.0,2945.0,深坑區,25.00428,121.5985
東驛商務旅館 (E-House Hotel),7.8,2733.0,991.0,萬華區,25.04463,121.50565
Amy台北台大公館國際酒店式公寓 (Amy House NTU Taipei Gongguan Loft),8.9,148.0,1952.0,中正區,25.01588,121.5319
泊客青旅 (PARK HOSTEL),7.4,624.0,642.0,中正區,25.04551,121.5172
美麗殿精品旅館 - 中和館 (Merryday Motel Zhonghe Branch),8.3,818.0,2342.0,中和區,25.00628,121.48779
賦樂旅居 (Hotel Proverbs Taipei),9.0,413.0,6630.0,大安區,25.04303,121.54581
立建旅館 (Hotel Lee Chan),7.1,784.0,904.0,松山區,25.04987,121.57523
麗都飯店 (Rido Hotel),8.5,1648.0,1871.0,大安區,25.0338,121.53352
臺北天禾旅店 (Taipei Timho Hotel),7.9,6279.0,925.0,萬華區,25.04267,121.50778
玫瑰精品旅館林森館 (Rose Boutique Hotel),8.1,541.0,2085.0,中山區,25.05095,121.52529
新驛旅店台北車站一館  (CityInn Hotel Taipei Station Branch I),8.6,2166.0,1535.0,中正區,25.04622,121.51409
幸福棧 (Lucky House),7.6,11.0,2320.0,瑞芳區,25.11235,121.85273
平溪十分旅人民宿 (Traveler's Lodge),8.5,86.0,1577.0,平溪區,25.04366,121.77825
野趣旅舍 (T.O. Hotel),8.3,720.0,1106.0,大同區,25.05563,121.51775
上樺旅棧 (Good Life Hotel - Shang Hwa),8.3,525.0,2174.0,中山區,25.06364,121.52427
柯達大飯店台北一店 (K Hotel Taipei),8.4,829.0,4793.0,中山區,25.05285,121.52296
瘋台北青旅 (Fun Inn Taipei),8.0,1070.0,747.0,萬華區,25.04573,121.51055
台北西門町意舍 (Amba Taipei Ximending),8.5,4698.0,3997.0,萬華區,25.04517,121.50536
"豪爵大飯店台北館 (The Metro Hotel, Taipei)",7.7,526.0,1404.0,中山區,25.06499,121.53095
富粧商務旅店 (Fu Chang Hotel),7.5,808.0,983.0,萬華區,25.04587,121.50293
幸福蘋果旅店 (Lucky Apple Hotel),8.5,451.0,2061.0,萬華區,25.04437,121.5043
York Hotel ,8.1,4633.0,1466.0,中正區,25.04501,121.51597
台北文華東方酒店 (Mandarin Oriental Taipei),9.2,549.0,10571.0,松山區,25.05575,121.54793
士林公寓 (Shihlin Service Apartment),7.7,1479.0,1440.0,士林區,25.09119,121.52438
沃客商旅-新舍館 (Walker Hotel - Xinshe),7.7,198.0,1672.0,三重區,25.06038,121.49785
龍山商旅 (Long Shan Hotel),8.1,749.0,1076.0,萬華區,25.03761,121.49965
台北漫步 - 西門館 (Meander Taipei Hostel - Ximending),8.8,3338.0,1539.0,萬華區,25.04388,121.50226
卡夫人背包客棧 台北車站青年館 (Cavemen Hostel Taipei Station Youth Branch),8.6,2099.0,878.0,中正區,25.04466,121.51467
旅行邦尼青年旅店 (tourist Bunny Hostel),8.7,616.0,1367.0,淡水區,25.17028,121.44225
橙舍青旅 - 台北一館 (TW-Taipei City Hostel),7.7,1292.0,1265.0,萬華區,25.0457,121.50689
東驛商旅西寧館 (E-House),8.2,1768.0,3853.0,萬華區,25.04458,121.50543
平溪十分旅人民宿 (Traveler's Lodge),8.5,86.0,1577.0,平溪區,25.04366,121.77825
幸福棧 (Lucky House),7.6,11.0,2320.0,瑞芳區,25.11235,121.85273
野趣旅舍 (T.O. Hotel),8.3,720.0,1106.0,大同區,25.05563,121.51775
儷客旅店 - 西門町館 (Click Hotel - Ximending Branch),8.5,971.0,1689.0,萬華區,25.04551,121.50607
泊居旅店 (Ours Inn),8.1,1814.0,1342.0,中山區,25.05562,121.52512
千嘉旅店 (Qian Jia Hotel),5.4,45.0,929.0,板橋區,25.00784,121.45607
瘋台北青旅 (Fun Inn Taipei),8.0,1070.0,747.0,萬華區,25.04573,121.51055
Jimmy's House,7.6,336.0,1171.0,中山區,25.05267,121.52101
雅都旅社   (Ya Dou Hotel),6.1,242.0,1133.0,板橋區,25.00795,121.45579
"豪爵大飯店台北館 (The Metro Hotel, Taipei)",7.7,526.0,1404.0,中山區,25.06509,121.53143
東門3號膠囊旅店 (DONGMEN 3 Hostel),9.1,2729.0,831.0,大安區,25.03382,121.52747
富粧商務旅店 (Fu Chang Hotel),7.5,808.0,983.0,萬華區,25.04677,121.50583
The Corner House (The Corner  House),8.9,406.0,,大安區,25.03489,121.53422
T.O.Hotel-北車館 (T.O.Hotel-Main Station),9.1,563.0,1162.0,中正區,25.04583,121.5143
雪瓈花園汽車旅館  (Sydney Motel),7.7,54.0,1368.0,土城區,24.97102,121.43674
台北伸適商旅 (Hotel Sense),8.2,684.0,2073.0,中山區,25.0611,121.52558
幸福蘋果旅店 (Lucky Apple Hotel),8.5,451.0,2061.0,萬華區,25.04428,121.50389
York Hotel ,8.1,4633.0,1466.0,中正區,25.04507,121.51586
未央居景觀民宿 (Way Young House),8.6,482.0,2154.0,瑞芳區,25.11142,121.84675
林森Loft (Linsen Loft),7.6,670.0,1122.0,中山區,25.06179,121.52529
中山19行旅 (Zhongshan 19),7.5,1352.0,1085.0,中山區,25.0599,121.52179
華達大飯店 (New May Flower Hotel),7.1,638.0,,中正區,25.0467,121.51348
太平洋商旅 (Pacific Business Hotel),8.3,3303.0,2500.0,信義區,25.03238,121.55776
台北文華東方酒店 (Mandarin Oriental Taipei),9.2,549.0,10571.0,松山區,25.05575,121.54793
士林公寓 (Shihlin Service Apartment),7.7,1479.0,1440.0,士林區,25.09119,121.52438
沃客商旅-新舍館 (Walker Hotel - Xinshe),7.7,198.0,1672.0,三重區,25.06038,121.49785
龍山商旅 (Long Shan Hotel),8.1,749.0,1076.0,萬華區,25.03761,121.49965
悅榕汽車旅館 (Love Tree Motel),7.6,27.0,1529.0,板橋區,25.00637,121.45812
三和旅舍  (Sun Ho Inn),7.7,195.0,909.0,三重區,25.06766,121.50043
凡登 東棧商務旅店 (Vendome East Inn),7.9,2534.0,1586.0,大安區,25.04175,121.55192
橙舍青旅 - 台北二館 (TW-Taipei Backpackers Hostel),8.0,357.0,1253.0,萬華區,25.0457,121.50689
宰相民宿  (ZaiXiang),7.8,237.0,1336.0,淡水區,25.17153,121.44538
富裕自由旅店 - 三重正義館 (RF Hotel - San Chong),7.6,627.0,998.0,三重區,25.0619,121.49748
愛莉亞汽車旅館 (Alia Motel),7.0,334.0,1732.0,三峽區,24.93595,121.36387
冠君大飯店 (Champion Hotel),7.4,54.0,,板橋區,25.00594,121.46189
卡夫人背包客棧 台北車站青年館 (Cavemen Hostel Taipei Station Youth Branch),8.6,2099.0,878.0,中正區,25.04466,121.51467
旅行邦尼青年旅店 (tourist Bunny Hostel),8.7,616.0,1367.0,淡水區,25.17028,121.44225
橙舍青旅 - 台北一館 (TW-Taipei City Hostel),7.7,1292.0,1265.0,萬華區,25.0457,121.50689
東驛商旅西寧館 (E-House),8.2,1768.0,3853.0,萬華區,25.04463,121.50565
九窩 - 九份膠囊旅店 (Box Inn Jiufen),9.1,705.0,1236.0,瑞芳區,25.1087,121.84499
棧留台北 (Taipei Taipei Hostel),8.2,1881.0,1288.0,中正區,25.04445,121.51313
迪化街棧 (Di Hua Jie Stay),8.2,504.0,8383.0,大同區,23.479,119.88131
Wulai Spring Resort,,,,烏來區,24.8655,121.55152
旅行邦尼青年旅店 (tourist Bunny Hostel),8.7,616.0,1367.0,淡水區,25.17028,121.44225
橙舍青旅 - 台北一館 (TW-Taipei City Hostel),7.7,1292.0,1265.0,萬華區,25.04566,121.50709
富裕自由旅店 - 三重正義館 (RF Hotel - San Chong),7.6,627.0,998.0,三重區,25.0619,121.49748
九窩 - 九份膠囊旅店 (Box Inn Jiufen),9.1,705.0,1236.0,瑞芳區,25.1087,121.84499
迪化街棧 (Di Hua Jie Stay),8.2,504.0,8383.0,大同區,23.479,119.88131
THE Tango Hotel Taipei Shilin,9.0,82.0,2500.0,士林區,25.04574,121.50628
仙渡莊旅社 (XDZ Hotel),,,1135.0,北投區,25.1237,121.46562
